,name,address,lat,lon,fs_1day,fs_15day
0,University of Northern Colorado at Greeley,501 20th St Greeley CO 80639,40.40645,-104.68575,1,0
1,Aims Community College - Greeley Campus,5401 20th St Greeley CO 80634,40.40728,-104.76849,1,0
