,name,address,lat,lon,fs_1day,fs_15day
0,Emily Griffith Technical College Main Campus,1860 Lincoln St Denver CO 80203,39.74578,-104.98572,1,0
1,Tivoli Student Union at the University of Colorado Denver / Community College of Denver / Metropolitan State University of Denver,900 Auraria Parkway Denver CO 80204,39.74508,-105.00598,1,1
