,name,address,lat,lon,fs_1day,fs_15day
0,Front Range Community College Larimer Campus,4616 South Shields St Fort Collins CO 80526,40.52281,-105.09296,1,0
1,Colorado State University (Fort Collins) Lory Student Center,1101 Center Ave Mall Fort Collins CO 80521 ,40.57478,-105.08477,1,1
