county,name,address,lat,lon
La Plata,Bayfield Town Hall,1199 Bayfield Pkwy Bayfield CO 81122,37.22563,-107.60401
La Plata,La Plata County Clerk and Recorders Office (Bodo),98 Everett St Suite C Durango CO 81303,37.24976,-107.87695
