geoid,countyfp,prc_nonengprof_final,prc_nonengprof_final_unreliable_flag,prc_caraccess_final,prc_caraccess_final_unreliable_flag,prcdisabled_final,prcdisabled_final_unreliable_flag,prc_pov_final,prc_pov_final_unreliable_flag,prc_youth_final,prc_youth_final_unreliable_flag,prc_asian,prc_asian_unreliable_flag,prc_black,prc_black_unreliable_flag,prc_latino,prc_latino_unreliable_flag,prc_white,prc_white_unreliable_flag,cvapdens,cvapdens_unreliable_flag,tot_elignonreg_prc_final,tot_elignonreg_prc_final_unreliable_flag,job_dens,pollvoter_dens,pop10,areakm,popdens,vbm_rate_tot,vbm_rate_lat,vbm_rate_asn,vbm_rate_youth
8013012101,13,0.02066,1,0.98594,0,0.03376,1,0.07281,0,0.0733,0,0.03309,1,0.00419,1,0.03309,1,0.89298,0,0.0143,0,0.0,1,0.0049,0.01354,4770,2.85989,1667.8952,0.78838,0.04981,0.00657,0.59956
8013012102,13,0.06409,0,0.95094,0,0.05433,0,0.09906,0,0.09563,0,0.04596,1,0.00159,1,0.11356,0,0.82959,0,0.02331,0,0.0,1,0.01001,0.02215,6466,2.88203,2243.5547,0.76536,0.02656,0.01552,0.55701
8013012103,13,0.039,0,0.9662,0,0.06299,0,0.08262,0,0.08577,0,0.01731,1,0.00646,1,0.11237,0,0.84319,0,0.01253,0,0.0,1,0.00401,0.01059,3804,2.30829,1647.97488,0.7806,0.01555,0.01514,0.60833
8013012104,13,0.02402,1,0.99244,0,0.01622,1,0.08815,0,0.02288,1,0.02738,0,0.0,1,0.1174,0,0.76182,0,0.00784,0,0.0,1,0.00504,0.00675,2538,2.79748,907.24471,0.82212,0.48003,0.02349,0.63753
8013012105,13,0.08383,0,0.94957,0,0.04416,1,0.08297,1,0.04097,0,0.02236,0,0.00555,1,0.20537,0,0.73327,0,0.01647,0,0.0,1,0.01738,0.01855,5589,2.47601,2257.26446,0.76105,0.29507,0.01404,0.54598
8013012201,13,0.01126,1,0.92625,0,0.03314,0,0.30141,0,0.30558,0,0.01148,1,0.02218,1,0.03862,0,0.88961,0,0.01457,0,0.0,1,0.0155,0.03075,3388,5.30171,639.03881,0.63834,0.17033,0.02016,0.47995
8013012202,13,0.03098,0,0.87504,0,0.02575,0,0.44078,0,0.4581,0,0.05251,0,0.02397,1,0.11296,0,0.77515,0,0.02477,0,0.0,1,0.03604,0.03878,5847,1.64404,3556.48397,0.58495,0.14045,0.00801,0.54858
8013012203,13,0.07936,0,0.88607,0,0.03776,0,0.14894,0,0.12618,0,0.08143,0,0.00228,1,0.19592,0,0.6943,0,0.02397,0,0.08839,0,0.19126,0.02203,6081,6.6668,912.13156,0.68623,0.10233,0.01811,0.56531
8013012204,13,0.01285,1,0.89067,0,0.04903,0,0.42231,0,0.47831,0,0.00585,1,0.01365,1,0.08577,0,0.87695,0,0.01576,0,0.0,1,0.10882,0.03517,3556,1.3938,2551.29398,0.54244,0.1478,0.02097,0.44891
8013012300,13,0.08933,0,0.73313,0,0.00636,1,0.29372,0,0.81988,0,0.18215,0,0.01013,1,0.10807,0,0.67708,0,0.02322,0,0.12977,0,0.00586,0.06928,6196,1.4278,4339.55764,0.3897,0.36079,0.22639,0.41053
