county,name,address,lat,lon
Garfield,Carbondale Town Hall,511 Colorado Ave Carbondale CO 81623,39.40198,-107.21188
Garfield,Garfield County Admin Building,195 W 14th St Rifle  CO 81650,39.54171,-107.78408
Garfield,Garfield County Courthouse,109 8th St Suite 200 Glenwood Springs CO 81601,39.54725,-107.32637
Garfield,Glenwood Springs Community Center,100 Wulfohn Glenwood Springs CO 81601,39.55107,-107.33912
Garfield,New Castle Library,402 W Main St New Castle CO 81647,39.57172,-107.53466
Garfield,Parachute Library,244 Grand Valley Way Parachute CO 81635,39.45302,-108.04306
Garfield,Silt Library,680 Home Ave Silt CO 81652,39.54807,-107.65603
