county,name,address,lat,lon
El Paso,EPC Clerk's Office Downtown Branch,200 S Cascade Ave Colorado Springs CO 80903,38.83028,-104.82634
El Paso,EPC Clerk's Office Ft Carson Branch,6351 Wetzel Ave Bldg 1525 Ft Carson CO 80913,38.73999,-104.7897
El Paso,EPC Clerk's Office Main Office,1675 W Garden of the Gods Rd Suite 2202 Colorado Springs CO 80907,38.89525,-104.86024
El Paso,EPC Clerk's Office Main Office,1675 W Garden of the Gods Rd Suite 1017 Colorado Springs CO 80907,38.89525,-104.86024
El Paso,EPC Clerk's Office North Branch,8830 N Union Blvd Colorado Springs CO 80920,38.95962,-104.76625
El Paso,EPC Clerk's Office Southeast Branch,5650 Industrial Place Colorado Springs CO 80916,38.82385,-104.72302
El Paso,Monument Town Hall,645 Beacon Lite Rd Monument CO 80918,39.09764,-104.86867
El Paso,Victory World Outreach,3150 S Academy Blvd Colorado Springs CO 80916,38.78771,-104.76002
