county,name,address,lat,lon
Eagle,Avon Clerk and Recorder's Office,100 W Beaver Creek Blvd Avon CO 81620,39.63521,-106.52394
Eagle,Eagle Clerk and Recorder's Office,500 Broadway Eagle CO 81631,39.65167,-106.82756
Eagle,El Jebel Clerk and Recorder's Office,20 Eagle County Drive El Jebel CO 81623,39.39254,-107.09069
Eagle,The Grand View,395 S Frontage Road West Vail CO 81657,39.64464,-106.38596
