,name,address,lat,lon,fs_1day,fs_15day
0,Pueblo Community College Pueblo Campus,900 West Orman Ave Pueblo CO 81004,38.2638,-104.63619,1,0
1,Colorado State University - Pueblo Pueblo Main Campus,2200 Bonforte Blvd Pueblo CO 81001,38.30602,-104.57991,1,0
