,name,address,lat,lon,fs_1day,fs_15day
0,Colorado School of Mines,1500 Illinois St Golden CO 80401,39.75086,-105.22387,1,0
1,Red Rocks Community College - Lakewood Campus,13300 West 6th Ave Frontage Rd Lakewood CO 80228,39.7207,-105.15074,1,0
