,name,address,lat,lon,fs_1day,fs_15day
0,Front Range Community College Boulder County Campus,2190 Miller Dr Longmont CO 80501,40.13862,-105.13001,1,0
1,CU Boulder Center for Student Involvement ,1669 Euclid Ave Boulder CO 80309,40.00657,-105.27175,1,1
