county,name,address,lat,lon
Boulder,Boulder County Clerk & Recorder,1750 33rd St Boulder CO 80301,40.01755,-105.24974
Boulder,Boulder County Clerk & Recorder - Lafayette,1376 Miners Drive Lafayette CO 80026,39.98377,-105.08835
Boulder,CU Campus - University Memorial Center (UMC),1669 Euclid Ave Boulder CO 80309,40.00657,-105.27175
Boulder,St. Vrain Community Hub,515 Coffman St Longmont CO 80501,40.16848,-105.10424
