,name,address,lat,lon,fs_1day,fs_15day
0,Front Range Community College Westminster Campus,3645 W 112th Ave Westminster CO 80031,39.90147,-105.03789,1,0
1,CU Anschutz Medical Campus,13001 East 17th Place Aurora CO 80045,39.74528,-104.83757,1,0
