,name,address,lat,lon,fs_1day,fs_15day
0,Community College of Aurora - CentreTech Campus,16000 East Centretech Pkwy Aurora CO 80011,39.718,-104.80266,1,0
1,Community College of Aurora - Lowry Campus,710 Alton Way Denver CO 80230,39.72742,-104.87908,1,0
2,Arapahoe Community College - Littleton Campus,5900 South Santa Fe Dr Littleton CO 80120,39.60832,-105.01903,1,0
